League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
South Korean K3 League,2024-07-27,04:00:00,Siheung Citizen,Ulsan Citizen FC,1.84,2.08,3.9,5.7,3.2,4.9,1.8,2.38,1.72,2.24,1.89,2.04,1.98,2.12,3.45,980.0,3.55,980.0,3.25,980.0,4.1,1000.0,3.15,980.0,3.15,980.0,3.6,980.0,4.1,1000.0,9.8,980.0,3.2,980.0,3.6,980.0,4.1,1000.0,3.65,980.0,3.6,980.0,4.3,980.0,4.1,1000.0,2.84,980.0,3.0,1000.0,2.02,1000.0,33444013,17132383.0,28616140.0,58805.0,1.231067524,1.231067569,1.231067608,1.231067533,1.01,4.0,1.33,1.58,3.3,1000.0,1.02,1.12,3.3,5.2,1.24,1.43,1.23,1.33,1.94,2.24,1.28,1.39,1.231067525,1.231067527,1.231067528,1.231067572
Chinese League 2,2024-07-27,05:00:00,Hunan Billows FC,Shenzhen Juniors FC,2.52,110.0,2.4,110.0,2.74,950.0,1.07,1000.0,1.03,18.0,1.12,1000.0,1.12,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.55,1000.0,1.55,1000.0,1.01,1000.0,33444559,23532878.0,67744862.0,58805.0,1.231077741,1.231077786,1.231077825,1.23107775,1.01,1000.0,1.01,20.0,1.27,36.0,1.03,1.12,1.14,1000.0,1.03,15.5,1.02,1.71,1.51,1.65,1.33,1.55,1.231077742,1.231077744,1.231077745,1.231077789
Chinese League 2,2024-07-27,05:00:00,Hainan Star,Shanghai Port B,1.04,110.0,1.45,110.0,2.06,950.0,1.05,1000.0,1.04,55.0,1.12,1000.0,1.12,1000.0,1.01,1000.0,2.78,1000.0,2.9,1000.0,1.01,1000.0,2.74,1000.0,2.86,1000.0,1.01,1000.0,1.01,1000.0,2.78,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.55,1000.0,1.01,1000.0,1.01,1000.0,33444569,46993484.0,67939087.0,58805.0,1.231080748,1.231080751,1.231080795,1.231080796,1.01,1000.0,1.01,20.0,1.2,26.0,1.04,990.0,1.14,1000.0,1.04,110.0,1.01,3.25,1.09,1.33,1.22,1.53,1.231080797,1.231080758,1.231080749,1.23108075
Chinese League 2,2024-07-27,05:00:00,Shaoxing Shangyu Pterosaur,Guangxi Lanhang,1.73,110.0,1.04,110.0,1.04,950.0,1.83,990.0,1.06,2.2,1.01,1000.0,1.01,1000.0,1.49,1000.0,2.74,1000.0,2.84,1000.0,2.96,1000.0,2.68,1000.0,2.82,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,2.92,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33444528,46839416.0,55942514.0,58805.0,1.231080658,1.231080661,1.231080705,1.231080706,1.01,1000.0,1.01,1000.0,1.83,990.0,1.06,2.2,1.83,990.0,1.06,2.2,1.16,1.5,1.01,2.38,1.22,1.61,1.231080707,1.231080668,1.231080659,1.23108066
Chinese League 2,2024-07-27,05:00:00,Guangxi Hengchen,Jiangxi Dark Horse Junior,1.41,110.0,1.04,600.0,2.06,950.0,1.05,990.0,1.07,26.0,1.12,1000.0,1.12,1000.0,1.48,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.55,1000.0,1.01,1000.0,33444560,68101080.0,46993485.0,58805.0,1.231077651,1.231077696,1.231077735,1.23107766,1.01,1000.0,1.01,20.0,1.2,990.0,1.07,990.0,1.14,1000.0,1.07,55.0,1.06,1.28,1.01,3.45,1.23,1.54,1.231077652,1.231077654,1.231077655,1.231077699
Friendly Matches,2024-07-27,05:00:00,SS Reyes,Guadalajara,1.8,1.99,3.75,8.6,3.65,5.7,1.05,1000.0,1.01,26.0,1.12,1000.0,1.12,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.55,1000.0,1.01,1000.0,33444337,2250334.0,230909.0,58805.0,1.231074707,1.231074752,1.231074791,1.231074716,1.01,1000.0,1.01,20.0,1.2,1000.0,1.01,110.0,1.14,1000.0,1.01,55.0,1.2,1.29,2.0,2.26,1.28,1.38,1.231074708,1.23107471,1.231074711,1.231074755
Friendly Matches,2024-07-27,05:00:00,Talavera CF,Atletico Madrid II,4.5,9.8,1.7,1.91,3.9,5.3,1.05,1000.0,1.01,36.0,1.12,1000.0,1.12,1000.0,1.48,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.55,1000.0,1.01,55.0,1.01,1000.0,33444335,7309192.0,10243043.0,58805.0,1.231074797,1.231074842,1.231074881,1.231074806,1.01,1000.0,1.01,20.0,1.2,1000.0,1.01,110.0,1.14,1000.0,1.01,55.0,2.08,2.44,1.18,1.29,1.23,1.35,1.231074798,1.2310748,1.231074801,1.231074845
Friendly Matches,2024-07-27,05:30:00,Fk Smederevo,Rudar Prijedor,1.43,1.56,1.04,9.0,2.06,7.8,1.05,1000.0,1.01,36.0,1.01,1000.0,1.01,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,2.98,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.55,1000.0,1.01,1000.0,33445756,15434416.0,7583469.0,58805.0,1.231101807,1.231101852,1.231101891,1.231101816,1.01,1000.0,1.01,1000.0,1.05,1000.0,1.01,36.0,1.05,1000.0,1.01,36.0,1.12,1.21,2.78,3.35,1.15,1.24,1.231101808,1.23110181,1.231101811,1.231101855
Japanese J League 3,2024-07-27,06:00:00,Yokohama SCC,Vanraure Hachinohe,3.8,5.1,2.12,2.38,3.0,3.7,1.5,1.69,2.26,3.15,2.08,2.34,1.74,1.91,7.6,10.5,2.94,8.8,9.8,15.0,4.3,36.0,9.8,14.0,6.6,9.0,9.8,14.5,4.3,38.0,21.0,34.0,3.1,22.0,2.74,30.0,4.1,1000.0,3.85,1000.0,4.2,1000.0,4.1,110.0,3.85,1000.0,1.86,1000.0,3.0,34.0,3.0,1000.0,33444194,7391084.0,7632116.0,58805.0,1.231072063,1.231072108,1.231072147,1.231072072,2.52,2.8,1.57,1.65,2.38,1000.0,1.09,1.72,2.38,3.05,1.49,1.72,1.73,1.89,1.27,1.35,1.37,1.5,1.231072064,1.231072066,1.231072067,1.231072111
Japanese J League 3,2024-07-27,06:00:00,FC Osaka,Kamatamare Sanuki,2.14,2.6,3.35,4.9,2.6,3.8,1.48,1.65,2.34,3.35,1.96,2.64,1.67,2.06,7.0,9.8,3.3,13.5,2.84,34.0,3.45,1000.0,6.0,8.8,6.2,8.8,3.05,22.0,4.1,1000.0,10.0,15.5,10.0,15.0,2.82,32.0,1.9,1000.0,4.2,38.0,4.0,40.0,4.1,1000.0,3.5,1000.0,2.62,38.0,1.9,1000.0,3.1,1000.0,33444197,9301693.0,4233864.0,58805.0,1.231071703,1.231071748,1.231071787,1.231071712,2.14,2.98,1.51,1.88,2.28,11.0,1.1,1.77,2.28,3.25,1.51,1.7,1.28,1.37,1.66,1.88,1.38,1.5,1.231071704,1.231071706,1.231071707,1.231071751
